iter	Passed	Remaining
403	10166	14997
404	10189	14970
405	10213	14942
406	10236	14914
407	10260	14887
408	10283	14859
409	10307	14832
410	10331	14805
411	10354	14777
412	10377	14749
413	10400	14721
414	10424	14694
415	10448	14668
416	10473	14642
417	10496	14614
418	10520	14588
419	10544	14561
420	10568	14534
421	10593	14508
422	10616	14481
423	10640	14455
424	10666	14431
425	10690	14404
426	10713	14377
427	10738	14351
428	10763	14326
429	10787	14299
430	10810	14271
431	10833	14243
432	10856	14216
433	10880	14189
434	10931	14198
435	10957	14174
436	10982	14149
437	11007	14124
438	11032	14098
439	11057	14072
440	11083	14048
441	11106	14021
442	11131	13995
443	11154	13968
444	11177	13940
445	11201	13914
446	11225	13887
447	11250	13862
448	11282	13845
449	11311	13824
450	11336	13800
451	11359	13771
452	11382	13743
453	11405	13716
454	11428	13688
455	11452	13662
456	11475	13634
457	11498	13607
458	11520	13579
459	11543	13551
460	11567	13524
461	11591	13498
462	11614	13471
463	11639	13445
464	11664	13420
465	11688	13393
466	11712	13368
467	11739	13345
468	11765	13320
469	11782	13287
470	11809	13264
471	11837	13242
472	11866	13220
473	11892	13197
474	11920	13174
475	11947	13152
476	11974	13128
477	12002	13107
478	12030	13085
479	12056	13061
480	12086	13041
481	12113	13018
482	12140	12995
483	12167	12972
484	12196	12950
485	12222	12927
486	12263	12917
487	12293	12897
488	12326	12880
489	12353	12857
490	12383	12837
491	12413	12816
492	12443	12796
493	12472	12775
494	12502	12754
495	12531	12733
496	12562	12713
497	12593	12694
498	12622	12673
499	12654	12654
500	12685	12634
501	12717	12616
502	12748	12596
503	12778	12575
504	12808	12554
505	12840	12535
506	12868	12513
507	12899	12493
508	12933	12475
509	12962	12454
510	12992	12433
511	13022	12411
512	13052	12391
513	13080	12368
514	13109	12345
515	13138	12323
516	13168	12302
517	13199	12282
518	13231	12263
519	13268	12247
520	13300	12227
521	13334	12210
522	13365	12190
523	13397	12170
524	13428	12149
525	13459	12128
526	13488	12106
527	13517	12084
528	13546	12061
529	13576	12039
530	13606	12018
531	13636	11995
532	13666	11974
533	13694	11950
534	13724	11928
535	13751	11903
536	13778	11879
537	13808	11857
538	13834	11832
539	13861	11808
540	13889	11784
541	13917	11760
542	13945	11737
543	13964	11705
544	13990	11680
545	14019	11657
546	14039	11627
547	14081	11614
548	14124	11602
549	14173	11596
550	14206	11576
551	14236	11553
552	14265	11531
553	14294	11508
554	14322	11483
555	14350	11459
556	14379	11436
557	14409	11413
558	14436	11389
559	14465	11365
560	14493	11341
561	14522	11318
562	14552	11295
563	14582	11273
564	14606	11245
565	14634	11221
566	14665	11199
567	14696	11177
568	14725	11153
569	14751	11128
570	14780	11104
571	14808	11080
572	14835	11055
573	14863	11031
574	14891	11006
575	14918	10981
576	14946	10956
577	14973	10932
578	15000	10907
579	15028	10882
580	15055	10857
581	15080	10831
582	15107	10805
583	15132	10779
584	15158	10753
585	15184	10727
586	15211	10702
587	15237	10676
588	15263	10650
589	15288	10624
590	15313	10597
591	15339	10571
592	15370	10549
593	15400	10526
594	15429	10502
595	15455	10476
596	15481	10450
597	15506	10424
598	15532	10398
599	15557	10371
600	15584	10346
601	15609	10319
602	15636	10294
603	15662	10268
604	15688	10243
605	15717	10219
606	15743	10193
607	15769	10167
608	15795	10141
609	15821	10115
610	15846	10088
611	15871	10062
612	15897	10036
613	15922	10009
614	15949	9984
615	15974	9958
616	16000	9932
617	16025	9905
618	16051	9880
619	16076	9853
620	16102	9827
621	16130	9802
622	16158	9778
623	16187	9753
624	16216	9730
625	16244	9705
626	16271	9679
627	16300	9655
628	16330	9632
629	16359	9608
630	16388	9583
631	16417	9559
632	16445	9534
633	16473	9510
634	16501	9484
635	16527	9458
636	16553	9433
637	16580	9407
638	16606	9381
639	16630	9354
640	16655	9328
641	16681	9302
642	16707	9275
643	16732	9249
644	16758	9223
645	16784	9197
646	16810	9171
647	16839	9147
648	16866	9122
649	16893	9096
650	16918	9070
651	16945	9044
652	16973	9019
653	16998	8993
654	17024	8967
655	17051	8941
656	17079	8916
657	17104	8890
658	17130	8864
659	17155	8837
660	17183	8812
661	17208	8786
662	17235	8760
663	17261	8734
664	17287	8708
665	17312	8682
666	17338	8656
667	17364	8630
668	17390	8604
669	17415	8577
670	17441	8551
671	17467	8525
672	17493	8499
673	17519	8473
674	17544	8447
675	17570	8421
676	17595	8394
677	17621	8368
678	17646	8342
679	17672	8316
680	17698	8290
681	17723	8264
682	17749	8238
683	17775	8212
684	17801	8185
685	17827	8159
686	17852	8133
687	17878	8107
688	17904	8081
689	17929	8055
690	17955	8029
691	17981	8003
692	18007	7977
693	18033	7951
694	18058	7924
