iter	RMSE
242	98.53142255
243	98.37584649
244	98.35472849
245	98.07157296
246	97.99055713
247	97.94446661
248	97.62634569
249	97.09348327
250	96.93740215
251	96.33594149
252	96.01145305
253	95.87241862
254	95.75627201
255	95.52913808
256	95.44312206
257	95.32107005
258	94.98756884
259	94.46561613
260	94.15532408
261	93.94021021
262	93.76745243
263	93.48136029
264	93.15263674
265	93.0412065
266	92.88897256
267	92.58323129
268	92.36790916
269	92.04451859
270	91.8083674
271	91.63104
272	91.29331678
273	90.98673619
274	90.69159727
275	90.27309708
276	90.141666
277	89.76996501
278	89.48456235
279	89.19064768
280	88.90289628
281	88.63540602
282	88.30363775
283	88.04401692
284	87.88682164
285	87.66193732
286	87.62625708
287	87.20528859
288	87.14698551
289	86.98498525
290	86.74154526
291	86.54013148
292	86.31002277
293	86.08787662
294	85.9333174
295	85.77807005
296	85.73963734
297	85.60301295
298	85.5277008
299	85.33049297
300	85.20927725
301	84.97731401
302	84.86891827
303	84.65467509
304	84.4588848
305	84.27942692
306	84.11189454
307	83.96014588
308	83.82146837
309	83.64066197
310	83.47900969
311	83.43365849
312	83.32248423
313	83.19456723
314	83.1750735
315	83.0553738
316	82.93933698
317	82.73309859
318	82.54123738
319	82.36265604
320	82.2802081
321	82.1235178
322	81.9582614
323	81.7956731
324	81.57849671
325	81.47413903
326	81.30674963
327	81.15148593
328	80.97590816
329	80.78545157
330	80.66455388
331	80.49955637
332	80.35875835
333	80.23370122
334	80.12338157
335	80.01376316
336	79.9694536
337	79.90720614
338	79.78113529
339	79.71023862
340	79.52239245
341	79.36306484
342	79.07393402
343	78.9565295
344	78.74601862
345	78.65721643
346	78.63492902
347	78.46123496
348	78.36268318
349	78.33873682
350	78.23504079
351	78.12835305
352	77.92550811
353	77.83143242
354	77.69692154
355	77.46635418
356	77.36731739
357	77.18216454
358	77.08203408
359	76.91134761
360	76.79276646
361	76.76325317
362	76.75203912
363	76.54444846
364	76.47748271
365	76.30942056
366	76.19077104
367	76.08821438
368	76.03156008
369	75.95738789
370	75.84786594
371	75.56291429
372	75.52538204
373	75.37494861
374	75.11872637
375	75.04741015
376	74.94346577
377	74.82295948
378	74.72579632
379	74.60884314
380	74.50271817
381	74.45964802
382	74.35220354
383	74.14600928
384	74.08578903
385	73.89852468
386	73.40784772
387	73.35354954
388	73.12536086
389	72.91247265
390	72.86123244
391	72.71133067
392	72.54293772
393	72.39112718
394	72.33938879
395	72.09879994
396	72.02121917
397	71.88922906
398	71.47331741
399	71.40037094
400	71.26967441
401	71.12545425
402	70.86070775
403	70.78860295
404	70.61144012
405	70.38653748
406	70.36444341
407	70.26934977
408	70.1987924
409	70.05301558
410	69.94820903
411	69.838934
412	69.71634373
413	69.56153595
414	69.45311713
415	69.39614149
416	69.34480886
417	69.29674904
418	69.24409599
419	69.17763507
420	69.05868415
421	69.01245104
422	68.72782149
423	68.67801332
424	68.63487478
425	68.54729355
426	68.45326904
427	68.32738542
428	68.11712523
429	68.02742781
430	67.86918906
431	67.62663755
432	67.54211186
433	67.47785124
434	67.28577953
435	67.15684463
436	66.74496715
437	66.43232033
438	66.39979581
439	66.3049095
440	66.15495697
441	66.07466152
442	66.02297887
443	65.93023494
444	65.85524074
445	65.74854043
446	65.73121695
447	65.67436092
448	65.60913377
449	65.50588954
450	65.45000931
451	65.42781107
452	65.29415689
453	64.96522613
454	64.80224994
455	64.51562922
456	64.36485241
457	64.27404129
458	64.13815085
459	63.88174751
460	63.74698281
461	63.71611248
462	63.50836022
463	63.45273206
464	63.37015526
465	63.30370891
466	63.19266561
467	63.11357277
468	63.0514934
469	63.04182603
470	62.9942869
471	62.88139506
472	62.76237552
473	62.63722496
474	62.5801026
475	62.43665869
476	62.33415291
477	62.28720332
478	62.23475157
479	62.12646654
480	62.03468551
481	61.95634973
482	61.91244283
483	61.80317155
484	61.62575063
485	61.42891046
486	61.37769059
487	61.2380101
488	61.16400989
489	61.04495536
490	60.99561997
491	60.87454333
492	60.8007842
493	60.74657248
494	60.67816599
495	60.58612175
496	60.5119743
497	60.42328998
498	60.30910682
499	60.25742745
500	60.15119175
501	60.10855075
502	60.00188303
503	59.87970732
504	59.82612693
505	59.75193617
506	59.70623985
507	59.66758212
508	59.53721152
509	59.43614221
510	59.35807704
511	59.26700035
512	59.22566201
513	59.17013452
514	59.07961954
515	59.03286575
516	58.97396934
517	58.95635467
518	58.85719124
519	58.76342419
520	58.60618125
521	58.50475074
522	58.46113968
523	58.36979867
524	58.31789088
525	58.16160524
526	58.14217303
527	58.04236187
528	57.9580515
529	57.78026067
530	57.71991814
531	57.67736136
532	57.63789634
533	57.5044639
534	57.48266611
535	57.44088813
536	57.34782242
537	57.29388168
538	57.25296817
539	57.20363835
540	57.15634559
541	57.09010664
542	57.0352363
543	57.03010795
544	56.98413451
545	56.96558624
546	56.96099315
547	56.86752478
548	56.85267638
549	56.77718675
550	56.72420913
551	56.6696492
552	56.64102526
553	56.56200442
554	56.49367426
555	56.43124219
556	56.35983588
557	56.29247061
558	56.28542254
559	56.25844325
560	56.22854089
561	56.22367032
562	56.13964714
563	55.9802918
564	55.97712289
565	55.94917431
566	55.88998496
567	55.85336359
568	55.78248849
569	55.73213892
570	55.71130685
571	55.65431554
572	55.6344396
573	55.55587738
574	55.47137588
575	55.38682799
576	55.36499075
577	55.32919911
578	55.26685025
579	55.23853172
580	55.19413259
581	55.11678441
582	55.01961978
583	54.95937048
584	54.94834774
585	54.94505261
586	54.86593397
587	54.81241493
588	54.72734285
589	54.61654921
590	54.53380396
591	54.50125934
592	54.46279963
593	54.418961
594	54.3074255
595	54.26829205
596	54.20415784
597	54.13521117
598	54.07104104
599	54.02487432
600	53.92800382
601	53.89740821
602	53.84911671
603	53.81261759
604	53.79326176
605	53.72927542
606	53.6449055
607	53.60105355
608	53.58144598
609	53.53004633
610	53.5175162
611	53.45325229
612	53.36382218
613	53.33679851
614	53.27090386
615	53.25040404
616	53.19671206
617	53.13793557
618	53.08973036
619	53.02958874
620	52.9911491
621	52.92639061
622	52.90363962
623	52.8807705
624	52.81921946
625	52.73806315
626	52.69560086
627	52.65875274
628	52.65365545
629	52.615236
630	52.46863609
631	52.44006807
632	52.38877547
633	52.3625666
634	52.31606234
635	52.21664626
636	52.15180761
637	52.14856712
638	52.13287505
639	52.0823656
640	52.06848143
641	51.94692763
642	51.94545546
643	51.81076125
644	51.77442717
645	51.75313759
646	51.72713287
647	51.71644442
648	51.69807913
649	51.63547686
650	51.61258335
651	51.57112066
652	51.43502474
653	51.36941382
654	51.35841738
655	51.3491331
656	51.28830273
657	51.22694133
658	51.20516469
659	51.19660481
660	51.1775749
661	51.05021589
662	51.01263941
663	50.97875666
664	50.93867954
665	50.88964717
666	50.8881858
667	50.85524158
668	50.83565433
669	50.71676126
670	50.68779231
671	50.66055195
672	50.57975463
673	50.54606521
674	50.52020955
675	50.45652919
676	50.4245053
677	50.40802984
678	50.38738439
679	50.36608639
680	50.33995707
681	50.28993052
682	50.27603327
683	50.24204297
684	50.21550397
685	50.11842385
686	50.0960625
687	50.06490275
688	50.0277728
689	50.00455194
690	49.95594338
691	49.82578637
692	49.82130272
693	49.71297492
694	49.66774725
695	49.60717615
696	49.55087483
697	49.53758732
698	49.49556256
699	49.44353459
700	49.34216471
701	49.29875125
702	49.24858907
703	49.17255251
704	49.06089703
705	49.02176558
706	48.86809801
707	48.82209818
708	48.78514989
709	48.75689617
710	48.72480063
711	48.6968559
712	48.66062493
713	48.63064709
714	48.5448103
715	48.52433516
716	48.48400068
717	48.44324519
718	48.44056198
719	48.43398308
720	48.40179975
721	48.3867653
722	48.36190374
723	48.30916339
724	48.26906002
725	48.23077317
726	48.21288001
727	48.10914764
728	48.09886752
729	48.07067132
730	48.04796521
731	48.00513749
732	47.96511672
733	47.93114814
734	47.91084809
735	47.87708951
736	47.84840807
737	47.77753987
738	47.75283923
739	47.70949958
740	47.70781536
741	47.68382832
742	47.66404099
743	47.62377717
744	47.57029094
745	47.56978856
746	47.56643318
747	47.51549801
748	47.50378491
749	47.50209237
750	47.44320934
751	47.37891803
752	47.36627633
753	47.34195472
754	47.31607057
755	47.28200212
756	47.24973226
757	47.24016584
758	47.20828991
759	47.18222143
760	47.12330898
761	47.08164751
762	47.06957882
763	46.99763371
764	46.97515886
765	46.96829305
766	46.92955405
767	46.90520497
768	46.87619397
769	46.86449037
770	46.76992517
771	46.74355037
772	46.70487879
773	46.68711452
774	46.67766066
775	46.6426011
776	46.60056595
777	46.5676254
778	46.54599907
779	46.54190104
780	46.42623164
781	46.42475025
782	46.36108015
783	46.35483995
784	46.34713359
785	46.274936
786	46.25350153
787	46.24254467
788	46.23057921
789	46.18365181
790	46.14516339
791	46.13095842
792	46.04166815
793	46.02106474
794	45.96632789
795	45.93164282
796	45.91033566
797	45.88056062
798	45.86315831
799	45.79431495
800	45.76283252
801	45.7518367
802	45.73985754
803	45.72982374
804	45.7023541
805	45.67747253
806	45.64280575
807	45.52068515
808	45.46124991
809	45.45247859
810	45.4516781
811	45.42403185
812	45.42108374
813	45.33911717
814	45.33879869
815	45.32593907
816	45.3228192
817	45.28791402
818	45.25632712
819	45.22413291
820	45.19920231
821	45.18498387
822	45.13319548
823	45.02843621
824	44.983942
825	44.96450931
826	44.92123875
827	44.87844347
828	44.85445495
829	44.80773023
830	44.78508612
831	44.78404155
832	44.76253411
833	44.73284178
834	44.72410608
835	44.71256707
836	44.65804155
837	44.64843215
838	44.61740862
839	44.59232101
840	44.56890024
841	44.55593099
842	44.54588334
843	44.54391943
844	44.51434534
845	44.48765921
846	44.46363735
847	44.3958721
848	44.35355647
849	44.31149035
850	44.27954824
851	44.26810444
852	44.24632693
853	44.22601365
854	44.19651225
855	44.17669267
856	44.13479574
857	44.09017743
858	44.06557805
859	44.0384994
860	44.01947996
861	44.00145241
862	43.91890389
863	43.88915483
864	43.81035737
865	43.76433203
866	43.72494808
867	43.6920189
868	43.67277614
869	43.67260185
870	43.64339254
871	43.61673442
872	43.58867058
873	43.53014504
874	43.48241838
875	43.45263304
876	43.4281166
877	43.4072008
878	43.40525817
879	43.3515948
880	43.34051496
881	43.31730087
882	43.30560559
883	43.2982464
884	43.29512425
885	43.27508946
886	43.26920183
887	43.23187405
888	43.17693305
889	43.13324554
890	43.09603035
891	42.99007451
892	42.97663427
893	42.96721735
894	42.93152864
895	42.84194178
896	42.77026591
897	42.73758497
898	42.71414456
899	42.70027565
900	42.68310752
901	42.67504094
902	42.66895602
903	42.61985213
904	42.5859338
905	42.56403834
906	42.5108689
907	42.48977529
908	42.47209824
909	42.44740412
910	42.43976485
911	42.43338745
912	42.40388155
913	42.38007403
914	42.34049421
915	42.32552214
916	42.31091832
917	42.29533704
918	42.2802163
919	42.25116119
920	42.22941122
921	42.19941985
922	42.18160364
923	42.17435567
924	42.17170273
925	42.1528538
926	42.11869875
927	42.1052385
928	42.09979204
929	42.07135764
930	42.03649309
931	42.00257229
932	41.97320624
933	41.95812836
934	41.95457245
935	41.93969833
936	41.92725847
937	41.90956364
938	41.86748526
939	41.84460308
940	41.81797521
941	41.78877079
942	41.76809925
943	41.74407991
944	41.73566702
945	41.71922055
946	41.682129
947	41.667151
948	41.64632792
949	41.61639198
950	41.59055085
951	41.55446433
952	41.55229378
953	41.49734545
954	41.47603412
955	41.46538109
956	41.4379982
957	41.41229145
958	41.40576506
959	41.3878699
960	41.3448086
961	41.32802826
962	41.32240065
963	41.31135348
964	41.30995708
965	41.29468333
966	41.27977919
967	41.27521427
968	41.25284182
969	41.23568186
970	41.21475901
971	41.20123244
972	41.13597787
973	41.11536069
974	41.11279914
975	41.08354323
976	41.06503467
977	41.0514823
978	41.0461112
979	41.01808645
980	41.00553822
981	40.99950537
982	40.98030891
983	40.97323551
984	40.94780158
985	40.92321031
986	40.91769613
987	40.89862913
988	40.8763254
989	40.87039493
990	40.85118957
991	40.84268969
992	40.84190127
993	40.81925662
994	40.8130299
995	40.79192479
996	40.77647629
997	40.73788401
998	40.72081142
999	40.71595932
